,hora,temp_inst,umid_inst,vento_rajada,diff_wind
528,0,25.5,83,1.6,1.1
529,15,30.4,50,8.1,4.699999999999999
530,14,29.3,52,8.1,4.199999999999999
531,16,31.6,45,7.8,5.3
532,17,31.2,52,6.5,3.9
533,18,30.2,56,7.5,4.6
534,19,28.6,61,6.8,3.9
535,20,28.0,64,6.8,3.8
536,21,26.8,72,6.8,4.4
537,22,26.5,76,5.8,3.9
538,23,26.6,78,5.7,3.3000000000000003
539,13,28.9,56,8.3,4.9
540,12,27.2,64,7.1,4.199999999999999
541,11,26.3,68,6.0,2.9
542,10,24.4,77,4.2,2.6
543,9,23.2,82,4.2,2.3000000000000003
544,8,23.2,86,3.4,1.7999999999999998
545,7,23.6,86,3.3,2.4
546,6,24.8,79,6.1,5.1
547,5,25.8,75,6.8,5.0
548,4,26.2,75,6.0,3.4
549,3,26.7,75,5.8,3.5999999999999996
550,2,26.6,80,4.7,3.2
551,1,26.7,80,3.4,2.0999999999999996
552,12,28.0,65,8.7,5.6
553,14,29.9,55,9.7,6.1
554,21,26.2,73,6.9,4.4
555,20,27.3,62,7.5,4.4
556,19,28.4,58,8.1,5.0
557,18,29.2,54,8.6,5.0
558,17,29.7,54,10.0,6.5
559,16,30.0,58,9.5,5.7
560,15,29.7,56,9.5,5.6
561,22,25.9,75,6.6,4.8
562,23,25.6,77,4.1,2.9999999999999996
563,0,26.0,79,5.7,4.4
564,1,25.3,82,3.7,3.2
565,2,24.5,87,1.8,1.4
566,3,24.0,88,1.4,0.7
567,4,24.0,90,1.8,0.8
568,5,24.1,88,2.4,1.4
569,6,24.2,88,2.9,1.4
570,7,24.3,87,4.0,2.5
571,8,23.9,86,4.1,2.5999999999999996
572,9,24.0,82,4.2,2.4000000000000004
573,10,24.7,80,4.3,2.0999999999999996
574,11,26.5,71,7.4,3.9000000000000004
575,13,29.3,56,9.0,5.3
576,0,24.9,79,2.8,2.4
577,23,26.1,79,4.5,3.1
578,22,26.2,78,5.8,4.199999999999999
579,21,26.7,74,6.5,4.0
580,20,27.9,66,7.7,5.0
581,19,28.8,62,9.5,6.6
582,18,29.1,60,10.5,5.8
583,17,29.7,55,9.8,5.800000000000001
584,16,30.0,54,9.8,5.300000000000001
585,15,29.9,54,9.1,5.3999999999999995
586,14,30.1,56,8.2,4.8999999999999995
587,13,29.0,63,7.9,4.800000000000001
588,12,26.9,74,7.5,4.5
589,11,25.6,81,6.5,3.7
