,Unnamed: 0,i,j,rmse,r2
227,227,360.0,240.0,28.479021809425788,-0.013259874109318392
228,228,360.0,270.0,28.481616540341285,-0.013444519249803609
229,229,360.0,300.0,28.47261594431785,-0.012804094685517686
230,230,360.0,330.0,28.481029371027244,-0.013402733883547624
231,231,360.0,360.0,28.48208897473041,-0.01347814023564742
232,232,360.0,390.0,28.29861275205814,-0.00046292800720260097
233,233,360.0,420.0,28.3243892918535,-0.002286354318569161
234,234,360.0,450.0,28.322338883133888,-0.002141248115231864
235,235,360.0,480.0,28.32519387695714,-0.002343297196711447
236,236,360.0,510.0,28.312229245173558,-0.0014259486431107413
237,237,360.0,540.0,28.482219679989296,-0.01348744202715313
238,238,360.0,570.0,28.48219899824748,-0.013485970184140994
239,239,360.0,600.0,28.48219009656149,-0.013485336684427862
240,240,390.0,30.0,81.89013650743732,-7.377875425730419
241,241,390.0,60.0,50.460171148589275,-2.1810327959604834
242,242,390.0,90.0,33.98008883464458,-0.4425129745396499
243,243,390.0,120.0,28.786188904756866,-0.0352352474590889
244,244,390.0,150.0,28.296664579057907,-0.0003251821897189977
245,245,390.0,180.0,28.401605285530287,-0.007758530759370386
246,246,390.0,210.0,28.46424785078095,-0.0122088565113887
247,247,390.0,240.0,28.478711628998308,-0.013237802307032977
248,248,390.0,270.0,28.481568577368,-0.013441105976445432
249,249,390.0,300.0,28.481993309406704,-0.01347133212886753
250,250,390.0,330.0,28.42871907580886,-0.009683576599302413
251,251,390.0,360.0,28.278202268869013,0.000979727007384357
252,252,390.0,390.0,28.482080889193764,-0.013477564820445929
253,253,390.0,420.0,28.3205570377925,-0.0020151565130490656
254,254,390.0,450.0,28.482026956447214,-0.013473726647449393
255,255,390.0,480.0,28.482066698527323,-0.013476554928048
256,256,390.0,510.0,28.48212532330889,-0.013480727020152905
257,257,390.0,540.0,28.32263161820959,-0.002161964159299368
258,258,390.0,570.0,28.482198058174085,-0.013485903282622669
259,259,390.0,600.0,28.48212923382741,-0.013481005316479777
260,260,420.0,30.0,81.42198496418075,-7.28235954423338
261,261,420.0,60.0,50.05397533852096,-2.1300253783484298
262,262,420.0,90.0,33.87568342160544,-0.43366221541354455
263,263,420.0,120.0,28.851888779642398,-0.039966158031865096
264,264,420.0,150.0,28.292474673894944,-2.896654692086109e-05
265,265,420.0,180.0,28.39973047708652,-0.007625489558001908
266,266,420.0,210.0,28.462776517527786,-0.012104215906356908
267,267,420.0,240.0,28.478543768191336,-0.013225857776949734
268,268,420.0,270.0,28.48158376858968,-0.013442187055428434
269,269,420.0,300.0,28.481988788451208,-0.013471010391665315
270,270,420.0,330.0,28.48199439471872,-0.013471409365921838
271,271,420.0,360.0,28.48204566968617,-0.013475058391308359
272,272,420.0,390.0,28.305996250666546,-0.0009850652847915864
273,273,420.0,420.0,28.481977597943782,-0.013470214010995908
274,274,420.0,450.0,28.482031152058116,-0.01347402523165675
275,275,420.0,480.0,28.316681758376475,-0.0017409512400590188
276,276,420.0,510.0,28.482118980634326,-0.013480275636863492
277,277,420.0,540.0,28.48214854898495,-0.013482379901347263
278,278,420.0,570.0,28.48217176905957,-0.013484032385255862
279,279,420.0,600.0,28.30878656296665,-0.001182422663104532
280,280,450.0,30.0,81.59459908232017,-7.3175138730424765
281,281,450.0,60.0,50.453608139347494,-2.180205379426247
282,282,450.0,90.0,33.55105776787821,-0.4063167250455591
283,283,450.0,120.0,28.78754102488885,-0.03533250210424388
284,284,450.0,150.0,28.296063931451286,-0.00028271523762613
285,285,450.0,180.0,28.40242544787718,-0.007816734338169207
286,286,450.0,210.0,28.4641563498388,-0.012202348844954079
287,287,450.0,240.0,28.47884120374454,-0.013247022550665788
288,288,450.0,270.0,28.481609894373378,-0.013444046290767007
289,289,450.0,300.0,28.4816949647684,-0.013450100317517366
290,290,450.0,330.0,28.481882908337035,-0.013463475368206137
291,291,450.0,360.0,28.48187164981141,-0.013462674149951505
292,292,450.0,390.0,28.280866452885746,0.0007914760573221048
293,293,450.0,420.0,28.481965185457998,-0.013469330667707169
294,294,450.0,450.0,28.48217404094048,-0.01348419406640411
295,295,450.0,480.0,28.4820582729145,-0.013475955311462506
296,296,450.0,510.0,28.48210752388247,-0.013479460304991695
297,297,450.0,540.0,28.482161027345104,-0.013483267938350084
298,298,450.0,570.0,28.482183698416623,-0.013484881352499034
299,299,450.0,600.0,28.482223184988232,-0.01348769146505968
300,300,480.0,30.0,81.49693099287202,-7.297613793713603
301,301,480.0,60.0,49.85472214888756,-2.1051551777849262
302,302,480.0,90.0,33.30050903922882,-0.38539128970849945
303,303,480.0,120.0,28.814808307283183,-0.03729474497925756
304,304,480.0,150.0,28.294443998911948,-0.00016818735560719666
305,305,480.0,180.0,28.405804763999534,-0.008056568358799645
306,306,480.0,210.0,28.46077700565673,-0.011962020129344886
307,307,480.0,240.0,28.477940702945446,-0.013182945833397186
308,308,480.0,270.0,28.481631616105496,-0.013445592114093685
309,309,480.0,300.0,28.48186261268628,-0.013462031018934171
310,310,480.0,330.0,28.481796767196556,-0.013457345101617335
311,311,480.0,360.0,28.48184867544655,-0.0134610391694876
312,312,480.0,390.0,28.482203859169488,-0.013486316117871988
313,313,480.0,420.0,28.27436144914799,0.001251087693623365
314,314,480.0,450.0,28.30559469578352,-0.0009566651121803992
315,315,480.0,480.0,28.307970726558285,-0.0011247169539434498
316,316,480.0,510.0,28.48211823571025,-0.013480222623543314
317,317,480.0,540.0,28.296280287148253,-0.0002980119016366966
318,318,480.0,570.0,28.482186866936413,-0.013485106844133732
319,319,480.0,600.0,28.482230373789072,-0.013488203065719516
320,320,510.0,30.0,80.65616641520408,-7.127291944679934
321,321,510.0,60.0,51.29107137526946,-2.2866559925672383
322,322,510.0,90.0,33.252498174367226,-0.3813994056267209
323,323,510.0,120.0,28.798196194618,-0.03609906185345757
324,324,510.0,150.0,28.29346277282837,-9.881867696837077e-05
325,325,510.0,180.0,28.40721741483036,-0.008156834298803872
326,326,510.0,210.0,28.4630020064005,-0.01212025222962798
327,327,510.0,240.0,28.478879481490623,-0.013249746315866284
328,328,510.0,270.0,28.48160642425849,-0.01344379934074702
329,329,510.0,300.0,28.481717232347016,-0.01345168499066518
330,330,510.0,330.0,28.481780033394987,-0.013456154236499708
331,331,510.0,360.0,28.48183265081291,-0.013459898770388223
332,332,510.0,390.0,28.4819242020467,-0.013466414057125007
333,333,510.0,420.0,28.48220093417408,-0.01348610795682603
334,334,510.0,450.0,28.30222469832352,-0.0007183362127987093
335,335,510.0,480.0,28.482225548812718,-0.013487859689787609
336,336,510.0,510.0,28.482141655831157,-0.013481889342213059
337,337,510.0,540.0,28.482142772891628,-0.01348196883908459
338,338,510.0,570.0,28.482177055060333,-0.013484408569903072
339,339,510.0,600.0,28.482311217055038,-0.013493956394132091
340,340,540.0,30.0,80.46284950753969,-7.088379604645818
341,341,540.0,60.0,49.88512543553037,-2.108943613676982
342,342,540.0,90.0,33.08200873321915,-0.3672705267970213
343,343,540.0,120.0,28.784402580731268,-0.03510676860954054
344,344,540.0,150.0,28.29252417227193,-3.2465700293249355e-05
345,345,540.0,180.0,28.399230409234022,-0.007590004948113015
346,346,540.0,210.0,28.462769575972114,-0.012103722238643309
347,347,540.0,240.0,28.478535780669716,-0.013225289407838405
348,348,540.0,270.0,28.481595421970585,-0.0134430163653676
349,349,540.0,300.0,28.481722001666604,-0.013452024399650542
350,350,540.0,330.0,28.481792195027925,-0.013457019722038943
351,351,540.0,360.0,28.482145457962414,-0.013482159925196635
352,352,540.0,390.0,28.48200991715868,-0.013472514032482286
