,hora,temp_inst,umid_inst,pto_orvalho_inst,pressao,vento_rajada,radiacao,precipitacao,vento_vel,diff_temp,diff_umid,diff_dew,diff_pressure,diff_wind
191,23,26.8,78,22.6,1011.2,3.8,-3.53,0.0,83,0.3000000000000007,3,0.6999999999999993,0.20000000000004547,2.6999999999999997
192,0,26.7,80,23.0,1011.7,3.2,-3.3,0.0,104,0.3999999999999986,2,0.5,0.5,2.4000000000000004
193,23,26.8,77,22.4,1011.5,4.3,-3.54,0.0,100,0.3000000000000007,1,0.20000000000000284,0.39999999999997726,3.0
194,22,27.0,76,22.4,1011.1,4.6,-3.54,0.0,93,0.40000000000000213,1,0.1999999999999993,0.5,3.0999999999999996
195,21,27.3,75,22.4,1010.6,6.8,73.64,0.0,94,1.1000000000000014,8,0.8999999999999986,0.3000000000000682,4.6
196,20,28.2,68,21.7,1010.3,6.8,674.3,0.0,100,1.3000000000000007,8,1.0999999999999979,0.6999999999999318,3.9
197,19,29.5,60,20.8,1009.6,6.5,1297.0,0.0,93,0.6000000000000014,3,0.9000000000000021,0.39999999999997726,3.4
198,18,29.9,59,21.1,1009.3,8.2,1702.0,0.0,98,1.0,4,1.1999999999999993,0.2999999999999545,5.299999999999999
199,17,30.2,60,21.4,1009.4,7.7,2018.0,0.0,101,0.9000000000000021,6,1.3000000000000007,0.6000000000000227,4.4
200,16,30.8,56,21.0,1010.0,7.7,2285.0,0.0,100,0.9000000000000021,6,1.2999999999999972,0.7999999999999545,4.300000000000001
201,15,30.9,55,20.7,1010.8,7.7,2165.0,0.0,106,1.6000000000000014,8,2.5,0.599999999999909,4.0
202,14,30.8,52,19.7,1011.3,8.1,2279.0,0.0,127,1.1000000000000014,9,2.1999999999999993,0.40000000000009095,5.1
203,13,30.0,58,20.8,1011.7,7.1,1344.0,0.0,151,1.5,7,1.7000000000000028,0.2999999999999545,4.8
204,12,28.8,64,21.4,1011.9,7.5,770.9,0.0,132,1.4000000000000021,8,1.6999999999999993,0.20000000000004547,4.7
205,11,28.1,71,22.3,1011.9,6.0,928.1,0.0,161,2.599999999999998,11,0.6999999999999993,0.5,3.1
